Imiê	Nazwisko	Ulica	Numer	RoleId	Firma	Miasto	Telefon	Email	Kod	Password	Concat								Firma 
Wincenty	Gajewski	Diamentowa	66	2	PKP Energetyka SA	¯ukowo	539435136	Wincenty.Gajewski@gmail.com	15-975	Gajewski	(2,'Wincenty','Gajewski','PKP Energetyka SA','Diamentowa','¯ukowo','15-975','539435136','Wincenty.Gajewski@gmail.com','Gajewski'),	'	,						PKP Energetyka SA
Benedykt	Szymczak	D³uga	34	1		Blachownia	579312227	Benedykt.Szymczak@poczta.fm	15-999	Szymczak	(1,'Benedykt','Szymczak','','D³uga','Blachownia','15-999','579312227','Benedykt.Szymczak@poczta.fm','Szymczak'),	'	,						GK LPP SA
Hubert	Szulc	Dobra	116	2	SM Mlekpol	Bêdzin	525363205	Hubert.Szulc@gazeta.pl	15-749	Szulc	(2,'Hubert','Szulc','SM Mlekpol','Dobra','Bêdzin','15-749','525363205','Hubert.Szulc@gazeta.pl','Szulc'),	'	,						SM Mlekpol
Sebastian	Baranowski	Dobromyœl	172	2	GK Mostostal Warszawa SA	Bielsko-Bia³a	596384301	Sebastian.Baranowski@go2.pl	15-749	Baranowski	(2,'Sebastian','Baranowski','GK Mostostal Warszawa SA','Dobromyœl','Bielsko-Bia³a','15-749','596384301','Sebastian.Baranowski@go2.pl','Baranowski'),	'	,						GK Mostostal Warszawa SA
Norbert	Laskowski	Dobrzyñska	37	2	Unilever Polska	Bieruñ Lêdziny	519183243	Norbert.Laskowski@yahoo.com	15-494	Laskowski	(2,'Norbert','Laskowski','Unilever Polska','Dobrzyñska','Bieruñ Lêdziny','15-494','519183243','Norbert.Laskowski@yahoo.com','Laskowski'),	'	,						Unilever Polska
Adolf	Brzeziñski	Dolna	71	2	CMC Poland Sp. z o.o.	Blachownia	566276143	Adolf.Brzeziñski@hotmail.com	15-865	Brzeziñski	(2,'Adolf','Brzeziñski','CMC Poland Sp. z o.o.','Dolna','Blachownia','15-865','566276143','Adolf.Brzeziñski@hotmail.com','Brzeziñski'),	'	,						CMC Poland Sp. z o.o.
£ukasz	Makowski	Dolomitowa	195	1		Bytom	536443477	£ukasz.Makowski@vp.pl	15-744	Makowski	(1,'£ukasz','Makowski','','Dolomitowa','Bytom','15-744','536443477','£ukasz.Makowski@vp.pl','Makowski'),	'	,						Grupa Mlekovita
Emil	Zió³kowski	Domaniówka	24	1		Chorzów	556409551	Emil.Zió³kowski@wp.pl	15-751	Zió³kowski	(1,'Emil','Zió³kowski','','Domaniówka','Chorzów','15-751','556409551','Emil.Zió³kowski@wp.pl','Zió³kowski'),	'	,						Flextronics International Poland Sp. z o.o.
Teodor	Przybylski	Domaszowska	155	2	GK Inter Cars SA	Cieszyn	501163451	Teodor.Przybylski@poczta.onet.pl	15-979	Przybylski	(2,'Teodor','Przybylski','GK Inter Cars SA','Domaszowska','Cieszyn','15-979','501163451','Teodor.Przybylski@poczta.onet.pl','Przybylski'),	'	,						GK Inter Cars SA
Rudolf	Domañski	Domki	49	1		Czechowice-Dziedzice	534432447	Rudolf.Domañski@o2.pl	15-365	Domañski	(1,'Rudolf','Domañski','','Domki','Czechowice-Dziedzice','15-365','534432447','Rudolf.Domañski@o2.pl','Domañski'),	'	,						Grupa Maspex Wadowice
Joachim	Nowacki	Do Modrzewia	91	2	GK Soko³ów SA	CzeladŸ	591289482	Joachim.Nowacki@interia.pl	15-602	Nowacki	(2,'Joachim','Nowacki','GK Soko³ów SA','Do Modrzewia','CzeladŸ','15-602','591289482','Joachim.Nowacki@interia.pl','Nowacki'),	'	,						GK Soko³ów SA
Jakub	Borowski	Duñska	60	1		Czerwionka-Leszczyny	533315565	Jakub.Borowski@op.pl	15-444	Borowski	(1,'Jakub','Borowski','','Duñska','Czerwionka-Leszczyny','15-444','533315565','Jakub.Borowski@op.pl','Borowski'),	'	,						EdF Paliwa Sp. z o.o.
Walenty	B³aszczyk	Du¿a	134	2	Ferrero Polska Sp. z o.o.	Czêstochowa	572144388	Walenty.B³aszczyk@tlen.pl	15-558	B³aszczyk	(2,'Walenty','B³aszczyk','Ferrero Polska Sp. z o.o.','Du¿a','Czêstochowa','15-558','572144388','Walenty.B³aszczyk@tlen.pl','B³aszczyk'),	'	,						Ferrero Polska Sp. z o.o.
Alfons	Chojnacki	Dymiñska	155	2	Nestle Polska SA	D¹browa Górnicza	540454321	Alfons.Chojnacki@gmail.com	15-936	Chojnacki	(2,'Alfons','Chojnacki','Nestle Polska SA','Dymiñska','D¹browa Górnicza','15-936','540454321','Alfons.Chojnacki@gmail.com','Chojnacki'),	'	,						Nestle Polska SA
Damian	Ciesielski	Dyrekcji G³ównej Górniczej	160	1		Gliwice	575145464	Damian.Ciesielski@poczta.fm	15-305	Ciesielski	(1,'Damian','Ciesielski','','Dyrekcji G³ównej Górniczej','Gliwice','15-305','575145464','Damian.Ciesielski@poczta.fm','Ciesielski'),	'	,						GK Cyfrowy Polsat SA
Rajmund	Mróz	Dzia³kowa	69	1		Imielin	570156279	Rajmund.Mróz@gazeta.pl	15-892	Mróz	(1,'Rajmund','Mróz','','Dzia³kowa','Imielin','15-892','570156279','Rajmund.Mróz@gazeta.pl','Mróz'),	'	,						E.Leclerc Polska
Szymon	Szczepaniak	Dzielna	95	2	GK Grupy Lotos SA	Jastrzêbie-Zdrój	589338223	Szymon.Szczepaniak@go2.pl	15-309	Szczepaniak	(2,'Szymon','Szczepaniak','GK Grupy Lotos SA','Dzielna','Jastrzêbie-Zdrój','15-309','589338223','Szymon.Szczepaniak@go2.pl','Szczepaniak'),	'	,						GK Grupy Lotos SA
Zygfryd	Weso³owski	Dzika	183	1		Jaworzno	588525100	Zygfryd.Weso³owski@yahoo.com	15-238	Weso³owski	(1,'Zygfryd','Weso³owski','','Dzika','Jaworzno','15-238','588525100','Zygfryd.Weso³owski@yahoo.com','Weso³owski'),	'	,						PGE Polska Grupa Energetyczna SA
Leopold	Górecki	Massalskiego	197	1		Kalety	558107522	Leopold.Górecki@hotmail.com	15-780	Górecki	(1,'Leopold','Górecki','','Massalskiego','Kalety','15-780','558107522','Leopold.Górecki@hotmail.com','Górecki'),	'	,						Jeronimo Martins Polska SA
Remigiusz	Krupa	Meissnera	111	2	GK PGNiG SA	Katowice	517381278	Remigiusz.Krupa@vp.pl	15-306	Krupa	(2,'Remigiusz','Krupa','GK PGNiG SA','Meissnera','Katowice','15-306','517381278','Remigiusz.Krupa@vp.pl','Krupa'),	'	,						GK PGNiG SA
Florian	Kaczmarczyk	Orzeszkowej	85	2	GK Tauron Polska Energia SA	K³obuck	535253472	Florian.Kaczmarczyk@wp.pl	15-934	Kaczmarczyk	(2,'Florian','Kaczmarczyk','GK Tauron Polska Energia SA','Orzeszkowej','K³obuck','15-934','535253472','Florian.Kaczmarczyk@wp.pl','Kaczmarczyk'),	'	,						GK Tauron Polska Energia SA
Konstanty	Leszczyñski	Plater	104	2	KGHM Polska MiedŸ SA	Knurów	552534201	Konstanty.Leszczyñski@poczta.onet.pl	15-433	Leszczyñski	(2,'Konstanty','Leszczyñski','KGHM Polska MiedŸ SA','Plater','Knurów','15-433','552534201','Konstanty.Leszczyñski@poczta.onet.pl','Leszczyñski'),	'	,						KGHM Polska MiedŸ SA
Augustyn	Lipiñski	Znojkiewiczowej	115	2	Grupa Eurocash SA	Koniecpol	573109423	Augustyn.Lipiñski@o2.pl	15-941	Lipiñski	(2,'Augustyn','Lipiñski','Grupa Eurocash SA','Znojkiewiczowej','Koniecpol','15-941','573109423','Augustyn.Lipiñski@o2.pl','Lipiñski'),	'	,						Grupa Eurocash SA
Albin	Kowalewski	Ewangelicka	37	1		Kozy	529231410	Albin.Kowalewski@interia.pl	15-450	Kowalewski	(1,'Albin','Kowalewski','','Ewangelicka','Kozy','15-450','529231410','Albin.Kowalewski@interia.pl','Kowalewski'),	'	,						Metro Group w Polsce
Bohdan	Urbaniak	Fabryczna	5	1		Krzepice	589134450	Bohdan.Urbaniak@op.pl	15-579	Urbaniak	(1,'Bohdan','Urbaniak','','Fabryczna','Krzepice','15-579','589134450','Bohdan.Urbaniak@op.pl','Urbaniak'),	'	,						GK Orange Polska (Telekomunikacja Polska SA)
Dominik	Kozak	Fa³dowa	113	2	Fiat Auto Poland SA	Lêdziny	543175144	Dominik.Kozak@tlen.pl	15-710	Kozak	(2,'Dominik','Kozak','Fiat Auto Poland SA','Fa³dowa','Lêdziny','15-710','543175144','Dominik.Kozak@tlen.pl','Kozak'),	'	,						Fiat Auto Poland SA
Gabriel	Kania	Malskiej	108	2	BP Europa SE Oddzia³ w Polsce	Lubliniec	554134440	Gabriel.Kania@gmail.com	15-661	Kania	(2,'Gabriel','Kania','BP Europa SE Oddzia³ w Polsce','Malskiej','Lubliniec','15-661','554134440','Gabriel.Kania@gmail.com','Kania'),	'	,						BP Europa SE Oddzia³ w Polsce
Teofil	Miko³ajczyk	Folwarczna	103	2	GK Energa SA	£aziska Górne	511120168	Teofil.Miko³ajczyk@poczta.fm	15-843	Miko³ajczyk	(2,'Teofil','Miko³ajczyk','GK Energa SA','Folwarczna','£aziska Górne','15-843','511120168','Teofil.Miko³ajczyk@poczta.fm','Miko³ajczyk'),	'	,						GK Energa SA
Brunon	Czajkowski	Fosforytowa	173	2	Kompania Wêglowa SA	£azy	546501184	Brunon.Czajkowski@gazeta.pl	15-206	Czajkowski	(2,'Brunon','Czajkowski','Kompania Wêglowa SA','Fosforytowa','£azy','15-206','546501184','Brunon.Czajkowski@gazeta.pl','Czajkowski'),	'	,						Kompania Wêglowa SA
Juliusz	Mucha	Loefflera	117	1		Miasteczko Œl¹skie	592437387	Juliusz.Mucha@go2.pl	15-949	Mucha	(1,'Juliusz','Mucha','','Loefflera','Miasteczko Œl¹skie','15-949','592437387','Juliusz.Mucha@go2.pl','Mucha'),	'	,						GK Enea SA
Walerian	Tomczak	Smuglewicza	170	1		Miko³ów	580269421	Walerian.Tomczak@yahoo.com	15-282	Tomczak	(1,'Walerian','Tomczak','','Smuglewicza','Miko³ów','15-282','580269421','Walerian.Tomczak@yahoo.com','Tomczak'),	'	,						Philip Morris International w Polsce
Bart³omiej	Kozio³	Chopina	48	1		Mys³owice	545484494	Bart³omiej.Kozio³@hotmail.com	15-943	Kozio³	(1,'Bart³omiej','Kozio³','','Chopina','Mys³owice','15-943','545484494','Bart³omiej.Kozio³@hotmail.com','Kozio³'),	'	,						Volkswagen Poznañ Sp. z o.o.
Fryderyk	Markowski	Zapolskiej	74	2	Orlen Paliwa Sp. z o.o.	Myszków	503413570	Fryderyk.Markowski@vp.pl	15-704	Markowski	(2,'Fryderyk','Markowski','Orlen Paliwa Sp. z o.o.','Zapolskiej','Myszków','15-704','503413570','Fryderyk.Markowski@vp.pl','Markowski'),	'	,						Orlen Paliwa Sp. z o.o.
Eryk	Kowalik	Gajowa	152	1		Ogrodzieniec	587294204	Eryk.Kowalik@wp.pl	15-722	Kowalik	(1,'Eryk','Kowalik','','Gajowa','Ogrodzieniec','15-722','587294204','Eryk.Kowalik@wp.pl','Kowalik'),	'	,						GK Jastrzêbskiej Spó³ki Wêglowej SA
Anatol	Nawrocki	Galenowa	51	1		Orzesze	512566316	Anatol.Nawrocki@poczta.onet.pl	15-511	Nawrocki	(1,'Anatol','Nawrocki','','Galenowa','Orzesze','15-511','512566316','Anatol.Nawrocki@poczta.onet.pl','Nawrocki'),	'	,						Lidl Polska Sklepy Spo¿ywcze Sp. z o.o. Sp. k.
Maksymilian	Brzozowski	Garbarska	19	1		Piekary Œl¹skie	502163441	Maksymilian.Brzozowski@o2.pl	15-938	Brzozowski	(1,'Maksymilian','Brzozowski','','Garbarska','Piekary Œl¹skie','15-938','502163441','Maksymilian.Brzozowski@o2.pl','Brzozowski'),	'	,						Pañstwowe Gospodarstwo Leœne Lasy Pañstwowe
Gustaw	Janik	Szareckiego	198	2	Carrefour w Polsce	Porêba	544337187	Gustaw.Janik@interia.pl	15-960	Janik	(2,'Gustaw','Janik','Carrefour w Polsce','Szareckiego','Porêba','15-960','544337187','Gustaw.Janik@interia.pl','Janik'),	'	,						Carrefour w Polsce
Aleksy	Musia³	Kleeberga	163	1		Pszczyna	581556197	Aleksy.Musia³@op.pl	15-244	Musia³	(1,'Aleksy','Musia³','','Kleeberga','Pszczyna','15-244','581556197','Aleksy.Musia³@op.pl','Musia³'),	'	,						Shell Polska Sp. z o.o.
Longin	Wawrzyniak	Bema	166	1		Pszów	516513471	Longin.Wawrzyniak@tlen.pl	15-389	Wawrzyniak	(1,'Longin','Wawrzyniak','','Bema','Pszów','15-389','516513471','Longin.Wawrzyniak@tlen.pl','Wawrzyniak'),	'	,						GK Polkomtel SA
Bartosz	Markiewicz	Hauke-Bosaka	43	2	GK Grupy Azoty SA	Pyskowice	510402488	Bartosz.Markiewicz@gmail.com	15-430	Markiewicz	(2,'Bartosz','Markiewicz','GK Grupy Azoty SA','Hauke-Bosaka','Pyskowice','15-430','510402488','Bartosz.Markiewicz@gmail.com','Markiewicz'),	'	,						GK Grupy Azoty SA
Wilhelm	Or³owski	Langiewicza	66	1		Racibórz	529480495	Wilhelm.Or³owski@poczta.fm	15-972	Or³owski	(1,'Wilhelm','Or³owski','','Langiewicza','Racibórz','15-972','529480495','Wilhelm.Or³owski@poczta.fm','Or³owski'),	'	,						Polska Telefonia Cyfrowa SA (T-Mobile)
Ferdynand	Tomczyk	Traugutta	166	1		Radlin	541422437	Ferdynand.Tomczyk@gazeta.pl	15-306	Tomczyk	(1,'Ferdynand','Tomczyk','','Traugutta','Radlin','15-306','541422437','Ferdynand.Tomczyk@gazeta.pl','Tomczyk'),	'	,						Polskie Sieci Elektroenergetyczne SA
Erwin	Jarosz	Maczka	123	2	GK Pelion SA	Radzionków	598180204	Erwin.Jarosz@go2.pl	15-527	Jarosz	(2,'Erwin','Jarosz','GK Pelion SA','Maczka','Radzionków','15-527','598180204','Erwin.Jarosz@go2.pl','Jarosz'),	'	,						GK Pelion SA
Klemens	Ko³odziejczyk	Grota-Roweckiego	87	1		Ruda Œl¹ska	562286365	Klemens.Ko³odziejczyk@yahoo.com	15-838	Ko³odziejczyk	(1,'Klemens','Ko³odziejczyk','','Grota-Roweckiego','Ruda Œl¹ska','15-838','562286365','Klemens.Ko³odziejczyk@yahoo.com','Ko³odziejczyk'),	'	,						Auchan Polska Sp. z o.o.
Lechos³aw	Kurek	Klimeckiego	60	2	Samsung Electronics Polska Sp. z o.o.	Rybnik	501452163	Lechos³aw.Kurek@hotmail.com	15-222	Kurek	(2,'Lechos³aw','Kurek','Samsung Electronics Polska Sp. z o.o.','Klimeckiego','Rybnik','15-222','501452163','Lechos³aw.Kurek@hotmail.com','Kurek'),	'	,						Samsung Electronics Polska Sp. z o.o.
Ernest	Kopeæ	Koœciuszki	69	1		Rydu³towy	548233547	Ernest.Kopeæ@vp.pl	15-310	Kopeæ	(1,'Ernest','Kopeæ','','Koœciuszki','Rydu³towy','15-310','548233547','Ernest.Kopeæ@vp.pl','Kopeæ'),	'	,						GK Synthos SA
Seweryn	¯ak	Andersa	54	1		Siemianowice Œl¹skie	589357597	Seweryn.¯ak@wp.pl	15-787	¯ak	(1,'Seweryn','¯ak','','Andersa','Siemianowice Œl¹skie','15-787','589357597','Seweryn.¯ak@wp.pl','¯ak'),	'	,						GK Budimex SA
Herbert	Wolski	Sikorskiego	53	1		Siewierz	569410482	Herbert.Wolski@poczta.onet.pl	15-244	Wolski	(1,'Herbert','Wolski','','Sikorskiego','Siewierz','15-244','569410482','Herbert.Wolski@poczta.onet.pl','Wolski'),	'	,						Imperial Tobacco Polska SA
Albert	£uczak	Berlinga	151	1		Skoczów	557470375	Albert.£uczak@o2.pl	15-519	£uczak	(1,'Albert','£uczak','','Berlinga','Skoczów','15-519','557470375','Albert.£uczak@o2.pl','£uczak'),	'	,						GK Neuca SA
B³a¿ej	Dziedzic	Giêtówka	154	2	GK Asseco Poland SA	S³awków	513172570	B³a¿ej.Dziedzic@interia.pl	15-203	Dziedzic	(2,'B³a¿ej','Dziedzic','GK Asseco Poland SA','Giêtówka','S³awków','15-203','513172570','B³a¿ej.Dziedzic@interia.pl','Dziedzic'),	'	,						GK Asseco Poland SA
Izydor	Kot	Gipsowa	147	2	Statoil Fuel & Retail Polska Sp. z o.o.	Sosnowiec	512520411	Izydor.Kot@op.pl	15-467	Kot	(2,'Izydor','Kot','Statoil Fuel & Retail Polska Sp. z o.o.','Gipsowa','Sosnowiec','15-467','512520411','Izydor.Kot@op.pl','Kot'),	'	,						Statoil Fuel & Retail Polska Sp. z o.o.
Dionizy	Stasiak	Giserska	47	2	LG Electronics Wroc³aw Sp. z o.o.	Szczekociny	540390322	Dionizy.Stasiak@tlen.pl	15-986	Stasiak	(2,'Dionizy','Stasiak','LG Electronics Wroc³aw Sp. z o.o.','Giserska','Szczekociny','15-986','540390322','Dionizy.Stasiak@tlen.pl','Stasiak'),	'	,						LG Electronics Wroc³aw Sp. z o.o.
Edwin	Stankiewicz	Gliniana	75	2	GK Boryszew SA	Szczyrk	558404270	Edwin.Stankiewicz@gmail.com	15-947	Stankiewicz	(2,'Edwin','Stankiewicz','GK Boryszew SA','Gliniana','Szczyrk','15-947','558404270','Edwin.Stankiewicz@gmail.com','Stankiewicz'),	'	,						GK Boryszew SA
Ginter	Pi¹tek	G³êboczka	82	2	GK Farmacol SA	Œwiêtoch³owice	528170590	Ginter.Pi¹tek@poczta.fm	15-272	Pi¹tek	(2,'Ginter','Pi¹tek','GK Farmacol SA','G³êboczka','Œwiêtoch³owice','15-272','528170590','Ginter.Pi¹tek@poczta.fm','Pi¹tek'),	'	,						GK Farmacol SA
Adrian	JóŸwiak	G³ogowa	194	1		Tarnowskie Góry	524196200	Adrian.JóŸwiak@gazeta.pl	15-966	JóŸwiak	(1,'Adrian','JóŸwiak','','G³ogowa','Tarnowskie Góry','15-966','524196200','Adrian.JóŸwiak@gazeta.pl','JóŸwiak'),	'	,						GK AB SA
Mateusz	Urban	Górna	36	2	GK Specja³	Toszek	592155598	Mateusz.Urban@go2.pl	15-296	Urban	(2,'Mateusz','Urban','GK Specja³','Górna','Toszek','15-296','592155598','Mateusz.Urban@go2.pl','Urban'),	'	,						GK Specja³
Walter	Dobrowolski	Górnicza	132	1		Tychy	534492514	Walter.Dobrowolski@yahoo.com	15-565	Dobrowolski	(1,'Walter','Dobrowolski','','Górnicza','Tychy','15-565','534492514','Walter.Dobrowolski@yahoo.com','Dobrowolski'),	'	,						Grupa Muszkieterów
Helmut	Pawlik	Grabinów	161	1		Ustroñ	527388478	Helmut.Pawlik@hotmail.com	15-692	Pawlik	(1,'Helmut','Pawlik','','Grabinów','Ustroñ','15-692','527388478','Helmut.Pawlik@hotmail.com','Pawlik'),	'	,						PKP Cargo SA
Bazyli	Kruk	Graniczna	73	1		Wis³a	509374548	Bazyli.Kruk@vp.pl	15-915	Kruk	(1,'Bazyli','Kruk','','Graniczna','Wis³a','15-915','509374548','Bazyli.Kruk@vp.pl','Kruk'),	'	,						Grupa Can-Pack SA
Marceli	Domaga³a	Granitowa	65	1		Wodzis³aw Œl¹ski	564319216	Marceli.Domaga³a@wp.pl	15-255	Domaga³a	(1,'Marceli','Domaga³a','','Granitowa','Wodzis³aw Œl¹ski','15-255','564319216','Marceli.Domaga³a@wp.pl','Domaga³a'),	'	,						GK GlaxoSmithKline Pharmaceuticals SA
Sergiusz	Piasecki	Grenadierów	195	2	Philips Lighting Poland SA	Wojkowice	506318367	Sergiusz.Piasecki@poczta.onet.pl	15-390	Piasecki	(2,'Sergiusz','Piasecki','Philips Lighting Poland SA','Grenadierów','Wojkowice','15-390','506318367','Sergiusz.Piasecki@poczta.onet.pl','Piasecki'),	'	,						Philips Lighting Poland SA
Bonifacy	Wierzbicki	Grobla	107	2	GK Kompania Piwowarska SA	WoŸniki	542456532	Bonifacy.Wierzbicki@o2.pl	15-271	Wierzbicki	(2,'Bonifacy','Wierzbicki','GK Kompania Piwowarska SA','Grobla','WoŸniki','15-271','542456532','Bonifacy.Wierzbicki@o2.pl','Wierzbicki'),	'	,						GK Kompania Piwowarska SA
Werner	Karpiñski	Grochowa	156	1		Zabrze	539128160	Werner.Karpiñski@interia.pl	15-619	Karpiñski	(1,'Werner','Karpiñski','','Grochowa','Zabrze','15-619','539128160','Werner.Karpiñski@interia.pl','Karpiñski'),	'	,						Grupa Chemiczna Ciech
Eligiusz	Jastrzêbski	Gromadzka	151	2	LG Electronics M³awa Sp. z o.o.	Zawiercie	535305594	Eligiusz.Jastrzêbski@op.pl	15-649	Jastrzêbski	(2,'Eligiusz','Jastrzêbski','LG Electronics M³awa Sp. z o.o.','Gromadzka','Zawiercie','15-649','535305594','Eligiusz.Jastrzêbski@op.pl','Jastrzêbski'),	'	,						LG Electronics M³awa Sp. z o.o.
Wawrzyniec	Polak	Gruchawka	2	1		¯arki	566145110	Wawrzyniec.Polak@tlen.pl	15-253	Polak	(1,'Wawrzyniec','Polak','','Gruchawka','¯arki','15-253','566145110','Wawrzyniec.Polak@tlen.pl','Polak'),	'	,						Grupa Cargill w Polsce
Kamil	Ziêba	Grunwaldzka	87	2	Grupa Skanska SA	¯ory	576190193	Kamil.Ziêba@gmail.com	15-204	Ziêba	(2,'Kamil','Ziêba','Grupa Skanska SA','Grunwaldzka','¯ory','15-204','576190193','Kamil.Ziêba@gmail.com','Ziêba'),	'	,						Grupa Skanska SA
£ucjan	Janicki	Grzybowa	18	1		¯ywiec	569455130	£ucjan.Janicki@poczta.fm	15-984	Janicki	(1,'£ucjan','Janicki','','Grzybowa','¯ywiec','15-984','569455130','£ucjan.Janicki@poczta.fm','Janicki'),	'	,						PKP Polskie Linie Kolejowe SA
Olgierd	Wójtowicz	Morcinka	59	1		Barlinek	547599226	Olgierd.Wójtowicz@gazeta.pl	15-972	Wójtowicz	(1,'Olgierd','Wójtowicz','','Morcinka','Barlinek','15-972','547599226','Olgierd.Wójtowicz@gazeta.pl','Wójtowicz'),	'	,						Rossmann Supermarkety Drogeryjne Polska Sp. z o.o.
Arnold	Stefañski	Gwarków	195	2	Kolporter Sp. z o.o. S.K.A.	Bia³ogard	527298471	Arnold.Stefañski@go2.pl	15-507	Stefañski	(2,'Arnold','Stefañski','Kolporter Sp. z o.o. S.K.A.','Gwarków','Bia³ogard','15-507','527298471','Arnold.Stefañski@go2.pl','Stefañski'),	'	,						Kolporter Sp. z o.o. S.K.A.
Jacenty	Sosnowski	Helenówek	12	1		Choszczno	519585347	Jacenty.Sosnowski@yahoo.com	15-758	Sosnowski	(1,'Jacenty','Sosnowski','','Helenówek','Choszczno','15-758','519585347','Jacenty.Sosnowski@yahoo.com','Sosnowski'),	'	,						GK Polimex-Mostostal SA
Dawid	Bednarek	Modrzejewskiej	191	2	KGHM Metraco SA	Dar³owo	556512268	Dawid.Bednarek@hotmail.com	15-481	Bednarek	(2,'Dawid','Bednarek','KGHM Metraco SA','Modrzejewskiej','Dar³owo','15-481','556512268','Dawid.Bednarek@hotmail.com','Bednarek'),	'	,						KGHM Metraco SA
Ewald	Majchrzak	Helska	97	2	Volkswagen Motor Polska Sp. z o.o.	Dêbno	588159520	Ewald.Majchrzak@vp.pl	15-780	Majchrzak	(2,'Ewald','Majchrzak','Volkswagen Motor Polska Sp. z o.o.','Helska','Dêbno','15-780','588159520','Ewald.Majchrzak@vp.pl','Majchrzak'),	'	,						Volkswagen Motor Polska Sp. z o.o.
Manfred	Bielecki	Sienkiewicza	63	2	Grupa Saint-Gobain w Polsce	Drawsko-Pomorskie	547476409	Manfred.Bielecki@wp.pl	15-864	Bielecki	(2,'Manfred','Bielecki','Grupa Saint-Gobain w Polsce','Sienkiewicza','Drawsko-Pomorskie','15-864','547476409','Manfred.Bielecki@wp.pl','Bielecki'),	'	,						Grupa Saint-Gobain w Polsce
Emilian	Ma³ecki	Herbska	105	1		Goleniów	597225339	Emilian.Ma³ecki@poczta.onet.pl	15-913	Ma³ecki	(1,'Emilian','Ma³ecki','','Herbska','Goleniów','15-913','597225339','Emilian.Ma³ecki@poczta.onet.pl','Ma³ecki'),	'	,						Grupa Animex
Klaudiusz	Maj	Hercyñska	44	2	Zak³ady Azotowe Pu³awy SA	Gryfice	539351548	Klaudiusz.Maj@o2.pl	15-689	Maj	(2,'Klaudiusz','Maj','Zak³ady Azotowe Pu³awy SA','Hercyñska','Gryfice','15-689','539351548','Klaudiusz.Maj@o2.pl','Maj'),	'	,						Zak³ady Azotowe Pu³awy SA
Zbys³aw	Sowa	Chodkiewicza	172	2	Strabag Sp. z o.o.	Gryfino	538481108	Zbys³aw.Sowa@interia.pl	15-796	Sowa	(2,'Zbys³aw','Sowa','Strabag Sp. z o.o.','Chodkiewicza','Gryfino','15-796','538481108','Zbys³aw.Sowa@interia.pl','Sowa'),	'	,						Strabag Sp. z o.o.
Igor	Milewski	Tarnowskiego	160	1		Ko³obrzeg	569379494	Igor.Milewski@op.pl	15-648	Milewski	(1,'Igor','Milewski','','Tarnowskiego','Ko³obrzeg','15-648','569379494','Igor.Milewski@op.pl','Milewski'),	'	,						GK ABC Data SA
Benon	Gajda	¯ó³kiewskiego	125	1		Koszalin	578139339	Benon.Gajda@tlen.pl	15-404	Gajda	(1,'Benon','Gajda','','¯ó³kiewskiego','Koszalin','15-404','578139339','Benon.Gajda@tlen.pl','Gajda'),	'	,						Tele-Fonika Kable Sp. z o.o. S.K.A.
Jêdrzej	Klimek	Czarnieckiego	155	1		£obez	583104102	Jêdrzej.Klimek@gmail.com	15-910	Klimek	(1,'Jêdrzej','Klimek','','Czarnieckiego','£obez','15-910','583104102','Jêdrzej.Klimek@gmail.com','Klimek'),	'	,						Katowicki Holding Wêglowy SA
Wit	Olejniczak	Mali	199	1		Myœlibórz	599289518	Wit.Olejniczak@poczta.fm	15-460	Olejniczak	(1,'Wit','Olejniczak','','Mali','Myœlibórz','15-460','599289518','Wit.Olejniczak@poczta.fm','Olejniczak'),	'	,						EdF Energia Sp. z o.o.
Hilary	Ratajczak	Hipoteczna	75	2	Faurecia w Polsce	Nowogard	562188141	Hilary.Ratajczak@gazeta.pl	15-392	Ratajczak	(2,'Hilary','Ratajczak','Faurecia w Polsce','Hipoteczna','Nowogard','15-392','562188141','Hilary.Ratajczak@gazeta.pl','Ratajczak'),	'	,						Faurecia w Polsce
Apolinary	Romanowski	Ho¿a	59	2	POLOmarket Sp. z o.o.	Police	525140523	Apolinary.Romanowski@go2.pl	15-969	Romanowski	(2,'Apolinary','Romanowski','POLOmarket Sp. z o.o.','Ho¿a','Police','15-969','525140523','Apolinary.Romanowski@go2.pl','Romanowski'),	'	,						POLOmarket Sp. z o.o.
Fabian	Matuszewski	Hubalczyków	97	2	GK Grupy ¯ywiec SA	Pyrzyce	510450502	Fabian.Matuszewski@yahoo.com	15-561	Matuszewski	(2,'Fabian','Matuszewski','GK Grupy ¯ywiec SA','Hubalczyków','Pyrzyce','15-561','510450502','Fabian.Matuszewski@yahoo.com','Matuszewski'),	'	,						GK Grupy ¯ywiec SA
Zenobiusz	Œliwiñski	Husarska	196	2	GK Action SA	S³awno	520497200	Zenobiusz.Œliwiñski@hotmail.com	15-867	Œliwiñski	(2,'Zenobiusz','Œliwiñski','GK Action SA','Husarska','S³awno','15-867','520497200','Zenobiusz.Œliwiñski@hotmail.com','Œliwiñski'),	'	,						GK Action SA
Horst	Madej	Hutnicza	57	2	Fiat Powertrain Technologies Poland Sp. z o.o.	Stargard	561396121	Horst.Madej@vp.pl	15-490	Madej	(2,'Horst','Madej','Fiat Powertrain Technologies Poland Sp. z o.o.','Hutnicza','Stargard','15-490','561396121','Horst.Madej@vp.pl','Madej'),	'	,						Fiat Powertrain Technologies Poland Sp. z o.o.
